cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,calculated_NP_ratio,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C,5C
238,15.66,23.71,48.4,10,38.77,72.2,1.13,163.81,159,143.36,129.28,92.48,55.33,22.64,
239,15.53,23.7,48,10,36.94,70.1,1.14,172.16,164.58,155.24,142.56,89.16,46.17,18.41,
240,15.41,22.22,46.7,9.87,37.94,70.3,1.13,168.44,158.76,148.36,131.73,70.49,32.71,12.8,
241,15.53,21.07,46.4,10,39.36,72.9,1.14,142.03,128.02,105.11,89.25,49.52,25.11,9.87,
242,15.66,20.76,46.6,9.94,39.09,72.1,1.12,171.5,161.1,143.79,127.71,65.47,31.38,11.98,
243,15.66,20.42,46.4,10.07,39.22,73.2,1.14,164.34,155.24,149.83,143.44,96.77,51.22,19.76,
244,15.53,22.24,47.1,10,38.6,72,1.14,158.41,150.57,127.05,102.47,55.86,32.86,13.3,
245,15.53,20.21,45.9,10.2,38.35,73.1,1.16,158.15,149.6,125.55,107.05,63.44,35.77,14.63,
246,15.66,20.76,46.6,10.07,37.16,70.8,1.14,141.7,129.2,102.19,75.26,42.05,24.48,9.35,
247,15.79,22.12,47.8,10.13,39.41,73.9,1.14,177.28,164.79,155.16,136.08,53.6,18.47,8.24,
