cell_id,cathode_loading_density,cathode_porosity,cathode_AM_thickness,anode_loading_density,anode_porosity,anode_AM_thickness,specific_capacity_0.1C,specific_capacity_0.2C,specific_capacity_0.5C,specific_capacity_1C,specific_capacity_2C,specific_capacity_3C,specific_capacity_5C
3.3-8,15.6609,22.9124,47.9,9.9391,0.3866,71.6,158.3042,151.2238,129.1084,113.4615,72.5525,41.0839,15.6469
3.3-9,15.6609,22.0992,47.4,10.004,0.409,74.8,163.8112,152.4476,126.3986,99.3881,67.3077,45.3671,24.4755
3.3-10,15.9155,21.495,47.8,10.069,0.3963,73.7,155.546,146.0877,113.7575,83.7489,55.2021,39.123,21.8401
3.3-11,15.7882,21.2998,47.3,9.8741,0.3593,68.1,152.2984,144.2324,117.2593,90.7199,55.2472,38.4215,21.6826
3.3-12,15.6609,23.073,48,9.9391,0.3589,68.5,150.6119,139.9476,110.1399,81.4685,53.7587,38.7238,21.3287
3.3-13,15.9155,21.9847,48.1,10.069,0.3777,71.5,155.9759,147.8074,118.8306,99.3121,75.7524,55.374,33.8779
3.3-14,15.5335,20.8968,46.3,10.1339,0.4014,74.8,127.2247,132.4229,102.3789,69.3392,44.4053,30.6608,15.3304
3.3-15,15.2789,25.1053,48.1,10.004,0.3712,70.3,162.3656,157.0789,144.9821,136.5591,104.0323,68.1004,32.7061
3.3-16,15.7882,21.6312,47.5,10.1339,0.4022,74.9,172.5065,167.9098,157.8491,143.7988,87.5108,45.7069,19.1674
3.3-17,15.6609,23.3922,48.2,10.069,0.376,71.3,167.7448,162.9371,158.5664,148.4266,99.6504,52.7972,21.0664
3.3-18,15.6609,23.7087,48.4,10.004,0.3877,72.2,163.8112,159.0035,143.3566,129.2832,92.4825,55.3322,22.6399
3.3-19,15.5335,23.6984,48,10.004,0.3694,70.1,172.1586,164.5815,155.2423,142.5551,89.163,46.1674,18.4141
3.3-20,15.4062,22.2172,46.7,9.8741,0.3794,70.3,168.4444,158.7556,148.3556,131.7333,70.4889,32.7111,12.8
3.3-21,15.5335,21.0673,46.4,10.004,0.3936,72.9,142.0264,128.0176,105.1101,89.2511,49.5154,25.1101,9.8678
3.3-22,15.6609,20.7619,46.6,9.9391,0.3909,72.1,171.5035,161.1014,143.7937,127.7098,65.472,31.3811,11.9755
3.3-23,15.6609,20.4203,46.4,10.069,0.3922,73.2,164.3357,155.2448,149.8252,143.4441,96.7657,51.2238,19.7552
3.3-24,15.5335,22.2404,47.1,10.004,0.386,72,158.4141,150.5727,127.0485,102.467,55.859,32.8634,13.304
3.3-25,15.5335,20.2075,45.9,10.1989,0.3835,73.1,158.1498,149.6035,125.5507,107.0485,63.4361,35.7709,14.6256
3.3-26,15.6609,20.7619,46.6,10.069,0.3716,70.8,141.6958,129.1958,102.1853,75.2622,42.0455,24.4755,9.3532
3.3-27,15.7882,22.1231,47.8,10.1339,0.3941,73.9,177.2767,164.7875,155.1605,136.0798,53.5993,18.4736,8.2394
